0.00641593204,,,,,,,,,,,,
,,,,,,,,,,,,
,,JPN Prices,,,,,USD Prices,,,,,
,Set Name,Box Price,No Shrink Price,Case Price,Notes,,Box Price,Box Price (with Tariff),No Shrink Price,No Shrink (With Tariff),Case Price,Case (With Tariff)
sv11w,White Flare Deluxe Box,ask,,,,,ask,ask,,,,
sv11w,Black Bolt Deluxe  Box,ask,,,,,ask,ask,,,,
sv11w,White Flare Booster Box,ask,ask,,,,ask,ask,ask,ask,,
sv11b,Black Bolt Booster Box,ask,ask,,,,ask,ask,ask,ask,,
sv10,Glory of Team rocket,ask,ask,,,,ask,ask,ask,ask,,
SV9a, Heat Wave Arena,,,,,,,,,,,
SV9,Battle Partners,ask,ask,,,,ask,ask,ask,ask,,
SV8a, Terastal Festival,14800,,300000,,,94.96,111.71,,,1924.78,2213.50
SV8,Super Electric Breaker,ask,,,,,ask,ask,,,,
SV7a,Paradise Dragona,ask,ask,,,,ask,ask,ask,ask,,
SV7,ask,,,,,,,,,,,
SV6a,Night wanderer,ask,,,,,ask,ask,,,,
SV5,Transformation Mask,ask,,,,,ask,ask,,,,
SV5A,Crimson Haze,,,,,,,,,,,
SV5M,Cyber Judge,ask,,,,,ask,ask,,,,
SV5K,Wild Force,ask,,,,,ask,ask,,,,
SV4a,Shiny Treasure,ask,,,,,ask,ask,,,,
SV4M,Future Flash,,,,,,,,,,,
SV4K,Ancient Roar,ask,,,,,ask,ask,,,,
SV3a,Raging Surf,,,,,,,,,,,
Sv3,Rule of the Black Flame,,,,,,,,,,,
SV2a,Jpn 151,ask,ask,,,,ask,ask,ask,ask,,
SV2D,Clay Burst,,,,,,,,,,,
SV2P,Snow Hazard,ask,,,,,ask,ask,,,,
SV1a,Triple Beat,,,,,,,,,,,
SV1V,Violet,ask,,,,,ask,ask,,,,
SV1S,Scarlet,,,,,,,,,,,
s12a,VSTAR Universe,,,,It may take some time for delivery,,,,,,,
S12,paradigm Trigger,,,,It may take some time for delivery,,,,,,,
S11a,Incandescent Arcana,,,,,,,,,,,
S11,Lost Abyss,,,,It may take some time for delivery,,,,,,,
S9,Star Birth,,,,It may take some time for delivery,,,,,,,
S8b,Vmax Climax,,,,It may take some time for delivery,,,,,,,
S6a,Eevee Heroes,,,,It may take some time for delivery,,,,,,,
S4a,Shiny Star V,,,,It may take some time for delivery,,,,,,,
m1L,Mega Brave ,ask,ask,,,,ask,ask,ask,ask,,
m1S,Mega Symphonia,ask,ask,,,,ask,ask,ask,ask,,
M2,Inferno X,"14,500",13500,,,,93.03,109.45,86.62,99.61,,
M2a,Mega Dream EX,"9,500",9000,,,,60.95,71.71,57.74,66.40,,
M3,Nihil Zero,6800,6600,86300,,,43.63,51.33,42.35,48.70,553.69,636.75
,,,,,,,,,,,,
,,,,,,,,,,,,
One PIece - CASES ONLY,,,,,,,,,,,,
,Set Name,Case Price,,,Notes,,,,,,,
,OP-09,ask,,,,,ask,ask,,,,
,OP10,ask,,,,,ask,ask,,,,
,prb-02,ask,,,,,ask,ask,,,,
,EB-02,ask,,,,,ask,ask,,,,
,op-11,ask,,,,,ask,ask,,,,
,op-12,ask,,,,,ask,ask,,,,
,oP-14,ask,,,,,ask,ask,,,,
